timestamp,ipAddress,action,status,severity
2025-05-22 23:28:27,10.0.0.1,HTTPS POST /api/data,200,1
2025-05-22 23:28:27,345.67.89.10,HTTP POST /admin,403,1
2025-05-22 23:28:27,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:28:27,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:28:27,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:28:27,123.45.67.89,HTTP GET /index.html,200,1
2025-05-22 23:28:27,98.76.54.32,HTTPS GET /login,200,1
2025-05-22 23:28:27,789.12.34.56,HTTP POST /login,401,1
2025-05-22 23:28:38,192.168.1.1,/login,200,1
2025-05-22 23:29:26,192.168.1.1,HTTP GET /login,200,1
2025-05-22 23:29:26,10.0.0.1,HTTPS POST /api/data,200,1
2025-05-22 23:29:26,345.67.89.10,HTTP POST /admin,403,1
2025-05-22 23:29:26,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:29:26,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:29:26,345.67.89.10,HTTP GET /admin,403,1
2025-05-22 23:29:26,123.45.67.89,HTTP GET /index.html,200,1
2025-05-22 23:29:26,98.76.54.32,HTTPS GET /login,200,1
2025-05-22 23:29:26,789.12.34.56,HTTP POST /login,401,1
2025-05-22 23:29:39,192.168.1.1,/login,401,1
2024-03-20 10:30:45,192.168.1.1,HTTP GET /login,200,1
2024-03-20 10:31:00,10.0.0.1,HTTPS POST /api/data,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2024-03-20 10:32:33,10.0.0.1,HTTPS POST /api/account,200,1
2025-05-23 23:13:30,192.168.1.1,HTTP GET /login,200,1
2025-05-23 23:13:30,10.0.0.1,HTTPS POST /api/data,200,1
2025-05-23 23:13:30,345.67.89.10,HTTP POST /admin,403,1
2025-05-23 23:13:30,345.67.89.10,HTTP GET /admin,403,1
2025-05-23 23:13:30,345.67.89.10,HTTP GET /admin,403,1
2025-05-23 23:13:30,345.67.89.10,HTTP GET /admin,403,1
2025-05-23 23:13:30,123.45.67.89,HTTP GET /index.html,200,1
2025-05-23 23:13:30,98.76.54.32,HTTPS GET /login,200,1
2025-05-23 23:13:30,789.12.34.56,HTTP POST /login,401,1
2025-05-23 23:57:09,127.0.0.1,HTTP GET /admin,401,1
2025-07-11 23:13:13,192.168.1.1,HTTP GET /login,200,5
2025-07-11 23:13:13,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-11 23:13:13,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-11 23:13:13,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-11 23:13:13,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-11 23:13:13,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-11 23:13:13,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-11 23:13:13,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-11 23:13:27,192.168.1.1,HTTP GET /login,200,5
2025-07-11 23:13:27,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-11 23:13:27,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-11 23:13:27,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-11 23:13:27,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-11 23:13:27,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-11 23:13:27,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-11 23:13:27,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-11 23:13:39,192.168.1.100,HTTP POST to:192.168.1.1 /api/data,200,2
2025-07-12 11:19:29,192.168.1.1,HTTP GET /login,200,5
2025-07-12 11:19:29,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-12 11:19:29,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-12 11:19:29,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-12 11:19:29,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-12 11:19:29,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-12 11:19:29,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-12 11:19:29,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-12 14:57:31,192.168.1.1,HTTP GET /login,200,5
2025-07-12 14:57:31,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-12 14:57:31,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-12 14:57:31,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-12 14:57:31,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-12 14:57:31,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-12 14:57:31,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-12 14:57:31,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-12 15:15:41,192.168.1.1,HTTP POST to:192.168.1.1 /api/data,401,8
2025-07-12 15:32:14,192.168.1.1,HTTP GET /login,200,5
2025-07-12 15:32:14,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-12 15:32:14,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-12 15:32:14,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-12 15:32:14,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-12 15:32:14,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-12 15:32:14,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-12 15:32:14,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-12 15:32:34,192.168.1.100,HTTP POST to:192.168.1.1 /api/data,200,2
2025-07-12 16:02:38,192.168.1.1,HTTP GET /login,200,5
2025-07-12 16:02:38,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-12 16:02:38,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-12 16:02:38,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-12 16:02:38,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-12 16:02:38,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-12 16:02:38,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-12 16:02:38,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
2025-07-12 16:35:46,192.168.1.1,HTTP GET /login,200,5
2025-07-12 16:35:46,192.168.1.100,HTTP POST to:192.168.1.1 /api,200,2
2025-07-12 16:35:46,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403,8
2025-07-12 16:35:46,345.67.89.10,HTTP GET to:192.168.1.100 /data,403,8
2025-07-12 16:35:46,192.168.1.50,HTTPS GET to:192.168.1.1 /secure,200,2
2025-07-12 16:35:46,789.12.34.56,HTTP POST to:192.168.1.1 /login,401,8
2025-07-12 16:35:46,192.168.1.1,HTTP RESPONSE to:192.168.1.100,200,2
2025-07-12 16:35:46,10.0.0.1,HTTPS POST to:192.168.1.1 /api/data,200,2
